Date,Store,Product,Is_Holiday,Base Price,Price,Weekly_Units_Sold,weekly_sales,year,month,day,week_of_year,promotion
2010-12-24,1,1,False,9.99,9.99,373,3726.27,2010,12,24,51,0
2010-12-31,1,1,True,9.99,9.99,127,1268.73,2010,12,31,52,0
2011-01-07,1,1,False,10.99,10.99,93,1022.07,2011,1,7,1,0
2011-01-14,1,1,False,10.99,10.99,100,1099.0,2011,1,14,2,0
2011-01-21,1,1,False,10.99,10.99,100,1099.0,2011,1,21,3,0
2011-01-28,1,1,False,10.99,10.99,107,1175.93,2011,1,28,4,0
2011-02-04,1,1,False,10.99,8.79,185,1626.1499999999999,2011,2,4,5,1
2011-02-11,1,1,True,10.99,8.79,323,2839.1699999999996,2011,2,11,6,1
2011-02-18,1,1,False,10.99,8.79,399,3507.2099999999996,2011,2,18,7,1
2011-02-25,1,1,False,10.99,8.79,165,1450.35,2011,2,25,8,1
2011-03-04,1,1,False,10.99,10.99,117,1285.83,2011,3,4,9,0
2011-03-11,1,1,False,10.99,10.99,123,1351.77,2011,3,11,10,0
2011-03-18,1,1,False,10.99,10.99,117,1285.83,2011,3,18,11,0
2011-03-25,1,1,False,10.99,10.99,121,1329.79,2011,3,25,12,0
2011-04-01,1,1,False,10.99,10.99,118,1296.82,2011,4,1,13,0
2011-04-08,1,1,False,10.99,10.99,138,1516.6200000000001,2011,4,8,14,0
2011-04-15,1,1,False,10.99,10.99,166,1824.3400000000001,2011,4,15,15,0
2011-04-22,1,1,False,10.99,10.99,292,3209.08,2011,4,22,16,0
2011-04-29,1,1,False,10.99,10.99,240,2637.6,2011,4,29,17,0
2011-05-06,1,1,False,10.99,8.79,171,1503.09,2011,5,6,18,1
2011-05-13,1,1,False,10.99,8.79,147,1292.1299999999999,2011,5,13,19,1
2011-05-20,1,1,False,10.99,8.79,129,1133.9099999999999,2011,5,20,20,1
2011-05-27,1,1,False,10.99,8.79,134,1177.86,2011,5,27,21,1
2011-06-03,1,1,False,10.99,10.99,95,1044.05,2011,6,3,22,0
2011-06-10,1,1,False,10.99,10.99,92,1011.08,2011,6,10,23,0
2011-06-17,1,1,False,10.99,10.99,87,956.13,2011,6,17,24,0
2011-06-24,1,1,False,10.99,10.99,91,1000.09,2011,6,24,25,0
2011-07-01,1,1,False,10.99,10.99,89,978.11,2011,7,1,26,0
2011-07-08,1,1,False,10.99,10.99,93,1022.07,2011,7,8,27,0
2011-07-15,1,1,False,10.99,10.99,91,1000.09,2011,7,15,28,0
2011-07-22,1,1,False,10.99,10.99,91,1000.09,2011,7,22,29,0
2011-07-29,1,1,False,10.99,10.99,92,1011.08,2011,7,29,30,0
2011-08-05,1,1,False,10.99,10.99,89,978.11,2011,8,5,31,0
2011-08-12,1,1,False,10.99,10.99,84,923.16,2011,8,12,32,0
2011-08-19,1,1,False,10.99,10.99,85,934.15,2011,8,19,33,0
2011-08-26,1,1,False,10.99,10.99,84,923.16,2011,8,26,34,0
2011-09-02,1,1,False,10.99,10.99,88,967.12,2011,9,2,35,0
2011-09-09,1,1,True,10.99,10.99,103,1131.97,2011,9,9,36,0
2011-09-16,1,1,False,10.99,10.99,107,1175.93,2011,9,16,37,0
2011-09-23,1,1,False,10.99,10.99,103,1131.97,2011,9,23,38,0
2011-09-30,1,1,False,10.99,10.99,106,1164.94,2011,9,30,39,0
2011-10-07,1,1,False,10.99,10.99,120,1318.8,2011,10,7,40,0
2011-10-14,1,1,False,10.99,10.99,133,1461.67,2011,10,14,41,0
2011-10-21,1,1,False,10.99,10.99,135,1483.65,2011,10,21,42,0
2011-10-28,1,1,False,10.99,10.99,183,2011.17,2011,10,28,43,0
2011-11-04,1,1,False,10.99,10.99,231,2538.69,2011,11,4,44,0
2011-11-11,1,1,False,10.99,10.99,108,1186.92,2011,11,11,45,0
2011-11-18,1,1,False,10.99,10.99,110,1208.9,2011,11,18,46,0
2011-11-25,1,1,True,10.99,10.99,121,1329.79,2011,11,25,47,0
2011-12-02,1,1,False,10.99,10.99,146,1604.54,2011,12,2,48,0
2011-12-09,1,1,False,10.99,10.99,193,2121.07,2011,12,9,49,0
2011-12-16,1,1,False,10.99,10.99,265,2912.35,2011,12,16,50,0
2011-12-23,1,1,False,10.99,10.99,271,2978.29,2011,12,23,51,0
2011-12-30,1,1,True,10.99,10.99,135,1483.65,2011,12,30,52,0
2012-01-06,1,1,False,10.99,10.99,96,1055.04,2012,1,6,1,0
2012-01-13,1,1,False,10.99,10.99,97,1066.03,2012,1,13,2,0
2012-01-20,1,1,False,10.99,10.99,106,1164.94,2012,1,20,3,0
2012-01-27,1,1,False,10.99,10.99,106,1164.94,2012,1,27,4,0
2012-02-03,1,1,False,10.99,8.79,200,1757.9999999999998,2012,2,3,5,1
2012-02-10,1,1,True,10.99,8.79,315,2768.85,2012,2,10,6,1
2012-02-17,1,1,False,10.99,8.79,461,4052.1899999999996,2012,2,17,7,1
2012-02-24,1,1,False,10.99,8.79,171,1503.09,2012,2,24,8,1
2012-03-02,1,1,False,10.99,10.99,116,1274.84,2012,3,2,9,0
2012-03-09,1,1,False,10.99,10.99,122,1340.78,2012,3,9,10,0
2012-03-16,1,1,False,10.99,10.99,129,1417.71,2012,3,16,11,0
2012-03-23,1,1,False,10.99,10.99,128,1406.72,2012,3,23,12,0
2012-03-30,1,1,False,10.99,10.99,167,1835.33,2012,3,30,13,0
2012-04-06,1,1,False,10.99,10.99,333,3659.67,2012,4,6,14,0
2012-04-13,1,1,False,10.99,10.99,201,2208.9900000000002,2012,4,13,15,0
2012-04-20,1,1,False,10.99,10.99,98,1077.02,2012,4,20,16,0
2012-04-27,1,1,False,10.99,10.99,95,1044.05,2012,4,27,17,0
2012-05-04,1,1,False,10.99,8.79,146,1283.34,2012,5,4,18,1
2012-05-11,1,1,False,10.99,8.79,155,1362.4499999999998,2012,5,11,19,1
2012-05-18,1,1,False,10.99,8.79,158,1388.82,2012,5,18,20,1
2012-05-25,1,1,False,10.99,8.79,145,1274.55,2012,5,25,21,1
2012-06-01,1,1,False,10.99,10.99,93,1022.07,2012,6,1,22,0
2012-06-08,1,1,False,10.99,10.99,102,1120.98,2012,6,8,23,0
2012-06-15,1,1,False,10.99,10.99,101,1109.99,2012,6,15,24,0
2012-06-22,1,1,False,10.99,10.99,96,1055.04,2012,6,22,25,0
2012-06-29,1,1,False,10.99,10.99,91,1000.09,2012,6,29,26,0
2012-07-06,1,1,False,10.99,10.99,103,1131.97,2012,7,6,27,0
2012-07-13,1,1,False,10.99,10.99,96,1055.04,2012,7,13,28,0
2012-07-20,1,1,False,10.99,10.99,95,1044.05,2012,7,20,29,0
2012-07-27,1,1,False,10.99,10.99,91,1000.09,2012,7,27,30,0
2012-08-03,1,1,False,10.99,10.99,96,1055.04,2012,8,3,31,0
2012-08-10,1,1,False,10.99,10.99,93,1022.07,2012,8,10,32,0
2012-08-17,1,1,False,10.99,10.99,100,1099.0,2012,8,17,33,0
2012-08-24,1,1,False,10.99,10.99,94,1033.06,2012,8,24,34,0
2012-08-31,1,1,False,10.99,10.99,97,1066.03,2012,8,31,35,0
2012-09-07,1,1,True,10.99,10.99,106,1164.94,2012,9,7,36,0
2012-09-14,1,1,False,10.99,10.99,113,1241.8700000000001,2012,9,14,37,0
2012-09-21,1,1,False,10.99,10.99,111,1219.89,2012,9,21,38,0
2012-09-28,1,1,False,10.99,10.99,109,1197.91,2012,9,28,39,0
2012-10-05,1,1,False,10.99,10.99,127,1395.73,2012,10,5,40,0
2012-10-12,1,1,False,10.99,10.99,131,1439.69,2012,10,12,41,0
2012-10-19,1,1,False,10.99,10.99,140,1538.6000000000001,2012,10,19,42,0
2012-10-26,1,1,False,10.99,10.99,158,1736.42,2012,10,26,43,0
2010-02-05,1,2,False,5.99,5.99,337,2018.63,2010,2,5,5,0
2010-02-12,1,2,True,5.99,5.99,298,1785.02,2010,2,12,6,0
2010-02-19,1,2,False,5.99,5.99,319,1910.8100000000002,2010,2,19,7,0
2010-02-26,1,2,False,5.99,5.99,295,1767.05,2010,2,26,8,0
2010-03-05,1,2,False,5.99,5.99,323,1934.77,2010,3,5,9,0
2010-03-12,1,2,False,5.99,5.99,292,1749.0800000000002,2010,3,12,10,0
2010-03-19,1,2,False,5.99,5.99,291,1743.0900000000001,2010,3,19,11,0
2010-03-26,1,2,False,5.99,5.99,279,1671.21,2010,3,26,12,0
2010-04-02,1,2,False,5.99,4.01,577,2313.77,2010,4,2,13,1
2010-04-09,1,2,False,5.99,4.01,566,2269.66,2010,4,9,14,1
2010-04-16,1,2,False,5.99,4.01,547,2193.47,2010,4,16,15,1
2010-04-23,1,2,False,5.99,4.01,540,2165.4,2010,4,23,16,1
2010-04-30,1,2,False,5.99,4.01,559,2241.5899999999997,2010,4,30,17,1
2010-05-07,1,2,False,5.99,5.99,319,1910.8100000000002,2010,5,7,18,0
2010-05-14,1,2,False,5.99,5.99,291,1743.0900000000001,2010,5,14,19,0
2010-05-21,1,2,False,5.99,5.99,295,1767.05,2010,5,21,20,0
2010-05-28,1,2,False,5.99,5.99,297,1779.03,2010,5,28,21,0
2010-06-04,1,2,False,5.99,5.99,325,1946.75,2010,6,4,22,0
2010-06-11,1,2,False,5.99,5.99,314,1880.8600000000001,2010,6,11,23,0
2010-06-18,1,2,False,5.99,5.99,296,1773.04,2010,6,18,24,0
2010-06-25,1,2,False,5.99,5.99,302,1808.98,2010,6,25,25,0
2010-07-02,1,2,False,5.99,4.01,572,2293.72,2010,7,2,26,1
2010-07-09,1,2,False,5.99,4.01,568,2277.68,2010,7,9,27,1
2010-07-16,1,2,False,5.99,4.01,539,2161.39,2010,7,16,28,1
2010-07-23,1,2,False,5.99,4.01,544,2181.44,2010,7,23,29,1
2010-07-30,1,2,False,5.99,4.01,557,2233.5699999999997,2010,7,30,30,1
2010-08-06,1,2,False,5.99,5.99,333,1994.67,2010,8,6,31,0
2010-08-13,1,2,False,5.99,5.99,303,1814.97,2010,8,13,32,0
2010-08-20,1,2,False,5.99,5.99,332,1988.68,2010,8,20,33,0
2010-08-27,1,2,False,5.99,5.99,331,1982.69,2010,8,27,34,0
2010-09-03,1,2,False,5.99,5.99,327,1958.73,2010,9,3,35,0
2010-09-10,1,2,True,5.99,5.99,301,1802.99,2010,9,10,36,0
2010-09-17,1,2,False,5.99,5.99,298,1785.02,2010,9,17,37,0
2010-09-24,1,2,False,5.99,5.99,283,1695.17,2010,9,24,38,0
2010-10-01,1,2,False,5.99,5.99,305,1826.95,2010,10,1,39,0
2010-10-08,1,2,False,5.99,5.99,309,1850.91,2010,10,8,40,0
2010-10-15,1,2,False,5.99,5.99,287,1719.13,2010,10,15,41,0
2010-10-22,1,2,False,5.99,5.99,283,1695.17,2010,10,22,42,0
2010-10-29,1,2,False,5.99,5.99,294,1761.0600000000002,2010,10,29,43,0
2010-11-05,1,2,False,5.99,5.99,309,1850.91,2010,11,5,44,0
2010-11-12,1,2,False,5.99,5.99,288,1725.1200000000001,2010,11,12,45,0
2010-11-19,1,2,False,5.99,5.99,276,1653.24,2010,11,19,46,0
2010-11-26,1,2,True,5.99,5.99,305,1826.95,2010,11,26,47,0
2010-12-03,1,2,False,5.99,5.99,296,1773.04,2010,12,3,48,0
2010-12-10,1,2,False,5.99,5.99,313,1874.8700000000001,2010,12,10,49,0
2010-12-17,1,2,False,5.99,5.99,329,1970.71,2010,12,17,50,0
2010-12-24,1,2,False,5.99,5.99,399,2390.01,2010,12,24,51,0
2010-12-31,1,2,True,5.99,5.99,239,1431.6100000000001,2010,12,31,52,0
2011-01-07,1,2,False,5.99,5.99,288,1725.1200000000001,2011,1,7,1,0
2011-01-14,1,2,False,5.99,5.99,266,1593.3400000000001,2011,1,14,2,0
2011-01-21,1,2,False,5.99,5.99,277,1659.23,2011,1,21,3,0
2011-01-28,1,2,False,5.99,5.99,278,1665.22,2011,1,28,4,0
2011-02-04,1,2,False,5.99,5.99,312,1868.88,2011,2,4,5,0
2011-02-11,1,2,True,5.99,5.99,317,1898.8300000000002,2011,2,11,6,0
2011-02-18,1,2,False,5.99,5.99,328,1964.72,2011,2,18,7,0
2011-02-25,1,2,False,5.99,5.99,308,1844.92,2011,2,25,8,0
2011-03-04,1,2,False,5.99,5.99,353,2114.4700000000003,2011,3,4,9,0
2011-03-11,1,2,False,5.99,5.99,323,1934.77,2011,3,11,10,0
2011-03-18,1,2,False,5.99,5.99,301,1802.99,2011,3,18,11,0
2011-03-25,1,2,False,5.99,5.99,295,1767.05,2011,3,25,12,0
2011-04-01,1,2,False,5.99,4.01,571,2289.71,2011,4,1,13,1
2011-04-08,1,2,False,5.99,4.01,589,2361.89,2011,4,8,14,1
2011-04-15,1,2,False,5.99,4.01,541,2169.41,2011,4,15,15,1
2011-04-22,1,2,False,5.99,4.01,566,2269.66,2011,4,22,16,1
2011-04-29,1,2,False,5.99,4.01,531,2129.31,2011,4,29,17,1
2011-05-06,1,2,False,5.99,5.99,334,2000.66,2011,5,6,18,0
2011-05-13,1,2,False,5.99,5.99,295,1767.05,2011,5,13,19,0
2011-05-20,1,2,False,5.99,5.99,295,1767.05,2011,5,20,20,0
2011-05-27,1,2,False,5.99,5.99,301,1802.99,2011,5,27,21,0
2011-06-03,1,2,False,5.99,5.99,319,1910.8100000000002,2011,6,3,22,0
2011-06-10,1,2,False,5.99,5.99,309,1850.91,2011,6,10,23,0
2011-06-17,1,2,False,5.99,5.99,286,1713.14,2011,6,17,24,0
2011-06-24,1,2,False,5.99,5.99,283,1695.17,2011,6,24,25,0
2011-07-01,1,2,False,5.99,4.01,550,2205.5,2011,7,1,26,1
2011-07-08,1,2,False,5.99,4.01,543,2177.43,2011,7,8,27,1
2011-07-15,1,2,False,5.99,4.01,526,2109.2599999999998,2011,7,15,28,1
2011-07-22,1,2,False,5.99,4.01,549,2201.49,2011,7,22,29,1
2011-07-29,1,2,False,5.99,4.01,525,2105.25,2011,7,29,30,1
2011-08-05,1,2,False,5.99,5.99,329,1970.71,2011,8,5,31,0
2011-08-12,1,2,False,5.99,5.99,302,1808.98,2011,8,12,32,0
2011-08-19,1,2,False,5.99,5.99,309,1850.91,2011,8,19,33,0
2011-08-26,1,2,False,5.99,5.99,318,1904.8200000000002,2011,8,26,34,0
2011-09-02,1,2,False,5.99,5.99,329,1970.71,2011,9,2,35,0
2011-09-09,1,2,True,5.99,5.99,289,1731.1100000000001,2011,9,9,36,0
2011-09-16,1,2,False,5.99,5.99,287,1719.13,2011,9,16,37,0
2011-09-23,1,2,False,5.99,5.99,289,1731.1100000000001,2011,9,23,38,0
2011-09-30,1,2,False,5.99,5.99,307,1838.93,2011,9,30,39,0
2011-10-07,1,2,False,5.99,5.99,333,1994.67,2011,10,7,40,0
2011-10-14,1,2,False,5.99,5.99,289,1731.1100000000001,2011,10,14,41,0
2011-10-21,1,2,False,5.99,5.99,283,1695.17,2011,10,21,42,0
2011-10-28,1,2,False,5.99,5.99,278,1665.22,2011,10,28,43,0
2011-11-04,1,2,False,5.99,5.99,315,1886.8500000000001,2011,11,4,44,0
2011-11-11,1,2,False,5.99,5.99,299,1791.01,2011,11,11,45,0
2011-11-18,1,2,False,5.99,5.99,293,1755.0700000000002,2011,11,18,46,0
2011-11-25,1,2,True,5.99,5.99,295,1767.05,2011,11,25,47,0
2011-12-02,1,2,False,5.99,5.99,306,1832.94,2011,12,2,48,0
2011-12-09,1,2,False,5.99,5.99,329,1970.71,2011,12,9,49,0
2011-12-16,1,2,False,5.99,5.99,341,2042.5900000000001,2011,12,16,50,0
2011-12-23,1,2,False,5.99,5.99,437,2617.63,2011,12,23,51,0
2011-12-30,1,2,True,5.99,5.99,290,1737.1000000000001,2011,12,30,52,0
2012-01-06,1,2,False,6.99,6.99,245,1712.55,2012,1,6,1,0
2012-01-13,1,2,False,6.99,6.99,238,1663.6200000000001,2012,1,13,2,0
2012-01-20,1,2,False,6.99,6.99,241,1684.5900000000001,2012,1,20,3,0
2012-01-27,1,2,False,6.99,6.99,229,1600.71,2012,1,27,4,0
2012-02-03,1,2,False,6.99,6.99,299,2090.01,2012,2,3,5,0
2012-02-10,1,2,True,6.99,6.99,278,1943.22,2012,2,10,6,0
2012-02-17,1,2,False,6.99,6.99,253,1768.47,2012,2,17,7,0
2012-02-24,1,2,False,6.99,6.99,259,1810.41,2012,2,24,8,0
2012-03-02,1,2,False,6.99,6.99,289,2020.1100000000001,2012,3,2,9,0
2012-03-09,1,2,False,6.99,6.99,267,1866.3300000000002,2012,3,9,10,0
2012-03-16,1,2,False,6.99,6.99,260,1817.4,2012,3,16,11,0
2012-03-23,1,2,False,6.99,6.99,246,1719.54,2012,3,23,12,0
2012-03-30,1,2,False,6.99,6.99,256,1789.44,2012,3,30,13,0
2012-04-06,1,2,False,6.99,4.68,519,2428.92,2012,4,6,14,1
2012-04-13,1,2,False,6.99,4.68,441,2063.8799999999997,2012,4,13,15,1
2012-04-20,1,2,False,6.99,4.68,457,2138.7599999999998,2012,4,20,16,1
2012-04-27,1,2,False,6.99,4.68,455,2129.4,2012,4,27,17,1
2012-05-04,1,2,False,6.99,6.99,277,1936.23,2012,5,4,18,0
2012-05-11,1,2,False,6.99,6.99,257,1796.43,2012,5,11,19,0
2012-05-18,1,2,False,6.99,6.99,244,1705.56,2012,5,18,20,0
2012-05-25,1,2,False,6.99,6.99,252,1761.48,2012,5,25,21,0
2012-06-01,1,2,False,6.99,6.99,261,1824.39,2012,6,1,22,0
2012-06-08,1,2,False,6.99,6.99,272,1901.28,2012,6,8,23,0
2012-06-15,1,2,False,6.99,6.99,257,1796.43,2012,6,15,24,0
2012-06-22,1,2,False,6.99,6.99,253,1768.47,2012,6,22,25,0
2012-06-29,1,2,False,6.99,6.99,262,1831.38,2012,6,29,26,0
2012-07-06,1,2,False,6.99,4.68,499,2335.3199999999997,2012,7,6,27,1
2012-07-13,1,2,False,6.99,4.68,445,2082.6,2012,7,13,28,1
2012-07-20,1,2,False,6.99,4.68,452,2115.3599999999997,2012,7,20,29,1
2012-07-27,1,2,False,6.99,4.68,451,2110.68,2012,7,27,30,1
2012-08-03,1,2,False,6.99,6.99,272,1901.28,2012,8,3,31,0
2012-08-10,1,2,False,6.99,6.99,257,1796.43,2012,8,10,32,0
2012-08-17,1,2,False,6.99,6.99,255,1782.45,2012,8,17,33,0
2012-08-24,1,2,False,6.99,6.99,247,1726.53,2012,8,24,34,0
2012-08-31,1,2,False,6.99,6.99,280,1957.2,2012,8,31,35,0
2012-09-07,1,2,True,6.99,6.99,260,1817.4,2012,9,7,36,0
2012-09-14,1,2,False,6.99,6.99,245,1712.55,2012,9,14,37,0
2012-09-21,1,2,False,6.99,6.99,239,1670.6100000000001,2012,9,21,38,0
2012-09-28,1,2,False,6.99,6.99,251,1754.49,2012,9,28,39,0
2012-10-05,1,2,False,6.99,6.99,267,1866.3300000000002,2012,10,5,40,0
2012-10-12,1,2,False,6.99,6.99,231,1614.69,2012,10,12,41,0
2012-10-19,1,2,False,6.99,6.99,233,1628.67,2012,10,19,42,0
2012-10-26,1,2,False,6.99,6.99,237,1656.63,2012,10,26,43,0
2010-02-05,1,3,False,19.99,19.99,91,1819.09,2010,2,5,5,0
2010-02-12,1,3,True,19.99,19.99,73,1459.27,2010,2,12,6,0
2010-02-19,1,3,False,19.99,19.99,77,1539.2299999999998,2010,2,19,7,0
2010-02-26,1,3,False,19.99,19.99,74,1479.26,2010,2,26,8,0
2010-03-05,1,3,False,19.99,19.99,82,1639.1799999999998,2010,3,5,9,0
2010-03-12,1,3,False,19.99,19.99,67,1339.33,2010,3,12,10,0
2010-03-19,1,3,False,19.99,19.99,60,1199.3999999999999,2010,3,19,11,0
2010-03-26,1,3,False,19.99,19.99,69,1379.31,2010,3,26,12,0
2010-04-02,1,3,False,19.99,19.99,75,1499.2499999999998,2010,4,2,13,0
2010-04-09,1,3,False,19.99,19.99,68,1359.32,2010,4,9,14,0
2010-04-16,1,3,False,19.99,19.99,61,1219.3899999999999,2010,4,16,15,0
2010-04-23,1,3,False,19.99,19.99,59,1179.4099999999999,2010,4,23,16,0
2010-04-30,1,3,False,19.99,19.99,62,1239.3799999999999,2010,4,30,17,0
2010-05-07,1,3,False,19.99,19.99,63,1259.37,2010,5,7,18,0
2010-05-14,1,3,False,19.99,19.99,53,1059.47,2010,5,14,19,0
2010-05-21,1,3,False,19.99,19.99,52,1039.48,2010,5,21,20,0
2010-05-28,1,3,False,19.99,19.99,56,1119.4399999999998,2010,5,28,21,0
2010-06-04,1,3,False,19.99,19.99,53,1059.47,2010,6,4,22,0
2010-06-11,1,3,False,19.99,19.99,51,1019.4899999999999,2010,6,11,23,0
2010-06-18,1,3,False,19.99,19.99,55,1099.4499999999998,2010,6,18,24,0
2010-06-25,1,3,False,19.99,19.99,44,879.56,2010,6,25,25,0
2010-07-02,1,3,False,19.99,10.0,209,2090.0,2010,7,2,26,1
2010-07-09,1,3,False,19.99,10.0,217,2170.0,2010,7,9,27,1
2010-07-16,1,3,False,19.99,10.0,367,3670.0,2010,7,16,28,1
2010-07-23,1,3,False,19.99,10.0,451,4510.0,2010,7,23,29,1
2010-07-30,1,3,False,19.99,10.0,558,5580.0,2010,7,30,30,1
2010-08-06,1,3,False,19.99,19.99,178,3558.22,2010,8,6,31,0
2010-08-13,1,3,False,19.99,19.99,204,4077.9599999999996,2010,8,13,32,0
2010-08-20,1,3,False,19.99,19.99,274,5477.259999999999,2010,8,20,33,0
2010-08-27,1,3,False,19.99,19.99,341,6816.589999999999,2010,8,27,34,0
2010-09-03,1,3,False,19.99,19.99,127,2538.73,2010,9,3,35,0
2010-09-10,1,3,True,19.99,19.99,81,1619.1899999999998,2010,9,10,36,0
2010-09-17,1,3,False,19.99,19.99,71,1419.29,2010,9,17,37,0
2010-09-24,1,3,False,19.99,19.99,54,1079.4599999999998,2010,9,24,38,0
2010-10-01,1,3,False,19.99,19.99,65,1299.35,2010,10,1,39,0
2010-10-08,1,3,False,19.99,19.99,67,1339.33,2010,10,8,40,0
2010-10-15,1,3,False,19.99,19.99,65,1299.35,2010,10,15,41,0
2010-10-22,1,3,False,19.99,19.99,57,1139.4299999999998,2010,10,22,42,0
2010-10-29,1,3,False,19.99,19.99,62,1239.3799999999999,2010,10,29,43,0
2010-11-05,1,3,False,19.99,10.0,262,2620.0,2010,11,5,44,1
2010-11-12,1,3,False,19.99,10.0,244,2440.0,2010,11,12,45,1
2010-11-19,1,3,False,19.99,10.0,245,2450.0,2010,11,19,46,1
2010-11-26,1,3,True,19.99,10.0,285,2850.0,2010,11,26,47,1
2010-12-03,1,3,False,19.99,19.99,73,1459.27,2010,12,3,48,0
2010-12-10,1,3,False,19.99,19.99,75,1499.2499999999998,2010,12,10,49,0
2010-12-17,1,3,False,19.99,19.99,80,1599.1999999999998,2010,12,17,50,0
2010-12-24,1,3,False,19.99,19.99,81,1619.1899999999998,2010,12,24,51,0
2010-12-31,1,3,True,19.99,19.99,55,1099.4499999999998,2010,12,31,52,0
2011-01-07,1,3,False,21.99,21.99,91,2001.09,2011,1,7,1,0
2011-01-14,1,3,False,21.99,21.99,76,1671.2399999999998,2011,1,14,2,0
2011-01-21,1,3,False,21.99,21.99,72,1583.28,2011,1,21,3,0
2011-01-28,1,3,False,21.99,21.99,69,1517.31,2011,1,28,4,0
2011-02-04,1,3,False,21.99,21.99,63,1385.37,2011,2,4,5,0
2011-02-11,1,3,True,21.99,21.99,65,1429.35,2011,2,11,6,0
2011-02-18,1,3,False,21.99,21.99,67,1473.33,2011,2,18,7,0
2011-02-25,1,3,False,21.99,21.99,60,1319.3999999999999,2011,2,25,8,0
2011-03-04,1,3,False,21.99,21.99,63,1385.37,2011,3,4,9,0
2011-03-11,1,3,False,21.99,21.99,61,1341.3899999999999,2011,3,11,10,0
2011-03-18,1,3,False,21.99,21.99,47,1033.53,2011,3,18,11,0
2011-03-25,1,3,False,21.99,21.99,52,1143.48,2011,3,25,12,0
2011-04-01,1,3,False,21.99,21.99,50,1099.5,2011,4,1,13,0
