,Store,Product,week_of_year,Base Price,Price,promotion,Is_Holiday,Weekly_Units_Sold
113,_1,_1,_14,10.99,10.99,0,0,333
114,_1,_1,_15,10.99,10.99,0,0,201
115,_1,_1,_16,10.99,10.99,0,0,98
116,_1,_1,_17,10.99,10.99,0,0,95
117,_1,_1,_18,10.99,8.79,1,0,146
118,_1,_1,_19,10.99,8.79,1,0,155
119,_1,_1,_20,10.99,8.79,1,0,158
120,_1,_1,_21,10.99,8.79,1,0,145
121,_1,_1,_22,10.99,10.99,0,0,93
122,_1,_1,_23,10.99,10.99,0,0,102
123,_1,_1,_24,10.99,10.99,0,0,101
124,_1,_1,_25,10.99,10.99,0,0,96
125,_1,_1,_26,10.99,10.99,0,0,91
126,_1,_1,_27,10.99,10.99,0,0,103
127,_1,_1,_28,10.99,10.99,0,0,96
128,_1,_1,_29,10.99,10.99,0,0,95
129,_1,_1,_30,10.99,10.99,0,0,91
130,_1,_1,_31,10.99,10.99,0,0,96
131,_1,_1,_32,10.99,10.99,0,0,93
132,_1,_1,_33,10.99,10.99,0,0,100
133,_1,_1,_34,10.99,10.99,0,0,94
134,_1,_1,_35,10.99,10.99,0,0,97
135,_1,_1,_36,10.99,10.99,0,1,106
136,_1,_1,_37,10.99,10.99,0,0,113
137,_1,_1,_38,10.99,10.99,0,0,111
138,_1,_1,_39,10.99,10.99,0,0,109
139,_1,_1,_40,10.99,10.99,0,0,127
140,_1,_1,_41,10.99,10.99,0,0,131
141,_1,_1,_42,10.99,10.99,0,0,140
142,_1,_1,_43,10.99,10.99,0,0,158
143,_1,_2,_5,5.99,5.99,0,0,337
144,_1,_2,_6,5.99,5.99,0,1,298
145,_1,_2,_7,5.99,5.99,0,0,319
146,_1,_2,_8,5.99,5.99,0,0,295
147,_1,_2,_9,5.99,5.99,0,0,323
148,_1,_2,_10,5.99,5.99,0,0,292
149,_1,_2,_11,5.99,5.99,0,0,291
150,_1,_2,_12,5.99,5.99,0,0,279
151,_1,_2,_13,5.99,4.01,1,0,577
152,_1,_2,_14,5.99,4.01,1,0,566
153,_1,_2,_15,5.99,4.01,1,0,547
154,_1,_2,_16,5.99,4.01,1,0,540
155,_1,_2,_17,5.99,4.01,1,0,559
156,_1,_2,_18,5.99,5.99,0,0,319
157,_1,_2,_19,5.99,5.99,0,0,291
158,_1,_2,_20,5.99,5.99,0,0,295
159,_1,_2,_21,5.99,5.99,0,0,297
160,_1,_2,_22,5.99,5.99,0,0,325
161,_1,_2,_23,5.99,5.99,0,0,314
162,_1,_2,_24,5.99,5.99,0,0,296
163,_1,_2,_25,5.99,5.99,0,0,302
164,_1,_2,_26,5.99,4.01,1,0,572
165,_1,_2,_27,5.99,4.01,1,0,568
166,_1,_2,_28,5.99,4.01,1,0,539
167,_1,_2,_29,5.99,4.01,1,0,544
168,_1,_2,_30,5.99,4.01,1,0,557
169,_1,_2,_31,5.99,5.99,0,0,333
170,_1,_2,_32,5.99,5.99,0,0,303
171,_1,_2,_33,5.99,5.99,0,0,332
172,_1,_2,_34,5.99,5.99,0,0,331
173,_1,_2,_35,5.99,5.99,0,0,327
174,_1,_2,_36,5.99,5.99,0,1,301
175,_1,_2,_37,5.99,5.99,0,0,298
176,_1,_2,_38,5.99,5.99,0,0,283
177,_1,_2,_39,5.99,5.99,0,0,305
178,_1,_2,_40,5.99,5.99,0,0,309
179,_1,_2,_41,5.99,5.99,0,0,287
180,_1,_2,_42,5.99,5.99,0,0,283
181,_1,_2,_43,5.99,5.99,0,0,294
182,_1,_2,_44,5.99,5.99,0,0,309
183,_1,_2,_45,5.99,5.99,0,0,288
184,_1,_2,_46,5.99,5.99,0,0,276
185,_1,_2,_47,5.99,5.99,0,1,305
186,_1,_2,_48,5.99,5.99,0,0,296
187,_1,_2,_49,5.99,5.99,0,0,313
188,_1,_2,_50,5.99,5.99,0,0,329
189,_1,_2,_51,5.99,5.99,0,0,399
190,_1,_2,_52,5.99,5.99,0,1,239
191,_1,_2,_1,5.99,5.99,0,0,288
192,_1,_2,_2,5.99,5.99,0,0,266
193,_1,_2,_3,5.99,5.99,0,0,277
194,_1,_2,_4,5.99,5.99,0,0,278
195,_1,_2,_5,5.99,5.99,0,0,312
196,_1,_2,_6,5.99,5.99,0,1,317
197,_1,_2,_7,5.99,5.99,0,0,328
198,_1,_2,_8,5.99,5.99,0,0,308
199,_1,_2,_9,5.99,5.99,0,0,353
200,_1,_2,_10,5.99,5.99,0,0,323
201,_1,_2,_11,5.99,5.99,0,0,301
202,_1,_2,_12,5.99,5.99,0,0,295
203,_1,_2,_13,5.99,4.01,1,0,571
204,_1,_2,_14,5.99,4.01,1,0,589
205,_1,_2,_15,5.99,4.01,1,0,541
206,_1,_2,_16,5.99,4.01,1,0,566
207,_1,_2,_17,5.99,4.01,1,0,531
208,_1,_2,_18,5.99,5.99,0,0,334
209,_1,_2,_19,5.99,5.99,0,0,295
210,_1,_2,_20,5.99,5.99,0,0,295
211,_1,_2,_21,5.99,5.99,0,0,301
212,_1,_2,_22,5.99,5.99,0,0,319
213,_1,_2,_23,5.99,5.99,0,0,309
214,_1,_2,_24,5.99,5.99,0,0,286
215,_1,_2,_25,5.99,5.99,0,0,283
216,_1,_2,_26,5.99,4.01,1,0,550
217,_1,_2,_27,5.99,4.01,1,0,543
218,_1,_2,_28,5.99,4.01,1,0,526
219,_1,_2,_29,5.99,4.01,1,0,549
220,_1,_2,_30,5.99,4.01,1,0,525
221,_1,_2,_31,5.99,5.99,0,0,329
222,_1,_2,_32,5.99,5.99,0,0,302
223,_1,_2,_33,5.99,5.99,0,0,309
224,_1,_2,_34,5.99,5.99,0,0,318
225,_1,_2,_35,5.99,5.99,0,0,329
226,_1,_2,_36,5.99,5.99,0,1,289
227,_1,_2,_37,5.99,5.99,0,0,287
228,_1,_2,_38,5.99,5.99,0,0,289
229,_1,_2,_39,5.99,5.99,0,0,307
230,_1,_2,_40,5.99,5.99,0,0,333
231,_1,_2,_41,5.99,5.99,0,0,289
232,_1,_2,_42,5.99,5.99,0,0,283
233,_1,_2,_43,5.99,5.99,0,0,278
234,_1,_2,_44,5.99,5.99,0,0,315
235,_1,_2,_45,5.99,5.99,0,0,299
236,_1,_2,_46,5.99,5.99,0,0,293
237,_1,_2,_47,5.99,5.99,0,1,295
238,_1,_2,_48,5.99,5.99,0,0,306
239,_1,_2,_49,5.99,5.99,0,0,329
240,_1,_2,_50,5.99,5.99,0,0,341
241,_1,_2,_51,5.99,5.99,0,0,437
242,_1,_2,_52,5.99,5.99,0,1,290
243,_1,_2,_1,6.99,6.99,0,0,245
244,_1,_2,_2,6.99,6.99,0,0,238
245,_1,_2,_3,6.99,6.99,0,0,241
246,_1,_2,_4,6.99,6.99,0,0,229
247,_1,_2,_5,6.99,6.99,0,0,299
248,_1,_2,_6,6.99,6.99,0,1,278
249,_1,_2,_7,6.99,6.99,0,0,253
250,_1,_2,_8,6.99,6.99,0,0,259
251,_1,_2,_9,6.99,6.99,0,0,289
252,_1,_2,_10,6.99,6.99,0,0,267
253,_1,_2,_11,6.99,6.99,0,0,260
254,_1,_2,_12,6.99,6.99,0,0,246
255,_1,_2,_13,6.99,6.99,0,0,256
256,_1,_2,_14,6.99,4.68,1,0,519
257,_1,_2,_15,6.99,4.68,1,0,441
258,_1,_2,_16,6.99,4.68,1,0,457
259,_1,_2,_17,6.99,4.68,1,0,455
260,_1,_2,_18,6.99,6.99,0,0,277
261,_1,_2,_19,6.99,6.99,0,0,257
262,_1,_2,_20,6.99,6.99,0,0,244
263,_1,_2,_21,6.99,6.99,0,0,252
264,_1,_2,_22,6.99,6.99,0,0,261
265,_1,_2,_23,6.99,6.99,0,0,272
266,_1,_2,_24,6.99,6.99,0,0,257
267,_1,_2,_25,6.99,6.99,0,0,253
268,_1,_2,_26,6.99,6.99,0,0,262
269,_1,_2,_27,6.99,4.68,1,0,499
270,_1,_2,_28,6.99,4.68,1,0,445
271,_1,_2,_29,6.99,4.68,1,0,452
272,_1,_2,_30,6.99,4.68,1,0,451
273,_1,_2,_31,6.99,6.99,0,0,272
274,_1,_2,_32,6.99,6.99,0,0,257
275,_1,_2,_33,6.99,6.99,0,0,255
276,_1,_2,_34,6.99,6.99,0,0,247
277,_1,_2,_35,6.99,6.99,0,0,280
278,_1,_2,_36,6.99,6.99,0,1,260
279,_1,_2,_37,6.99,6.99,0,0,245
280,_1,_2,_38,6.99,6.99,0,0,239
281,_1,_2,_39,6.99,6.99,0,0,251
282,_1,_2,_40,6.99,6.99,0,0,267
283,_1,_2,_41,6.99,6.99,0,0,231
284,_1,_2,_42,6.99,6.99,0,0,233
285,_1,_2,_43,6.99,6.99,0,0,237
286,_1,_3,_5,19.99,19.99,0,0,91
287,_1,_3,_6,19.99,19.99,0,1,73
288,_1,_3,_7,19.99,19.99,0,0,77
289,_1,_3,_8,19.99,19.99,0,0,74
290,_1,_3,_9,19.99,19.99,0,0,82
291,_1,_3,_10,19.99,19.99,0,0,67
292,_1,_3,_11,19.99,19.99,0,0,60
293,_1,_3,_12,19.99,19.99,0,0,69
294,_1,_3,_13,19.99,19.99,0,0,75
295,_1,_3,_14,19.99,19.99,0,0,68
296,_1,_3,_15,19.99,19.99,0,0,61
297,_1,_3,_16,19.99,19.99,0,0,59
298,_1,_3,_17,19.99,19.99,0,0,62
299,_1,_3,_18,19.99,19.99,0,0,63
300,_1,_3,_19,19.99,19.99,0,0,53
301,_1,_3,_20,19.99,19.99,0,0,52
302,_1,_3,_21,19.99,19.99,0,0,56
303,_1,_3,_22,19.99,19.99,0,0,53
304,_1,_3,_23,19.99,19.99,0,0,51
305,_1,_3,_24,19.99,19.99,0,0,55
306,_1,_3,_25,19.99,19.99,0,0,44
307,_1,_3,_26,19.99,10.0,1,0,209
308,_1,_3,_27,19.99,10.0,1,0,217
309,_1,_3,_28,19.99,10.0,1,0,367
310,_1,_3,_29,19.99,10.0,1,0,451
311,_1,_3,_30,19.99,10.0,1,0,558
312,_1,_3,_31,19.99,19.99,0,0,178
313,_1,_3,_32,19.99,19.99,0,0,204
314,_1,_3,_33,19.99,19.99,0,0,274
315,_1,_3,_34,19.99,19.99,0,0,341
316,_1,_3,_35,19.99,19.99,0,0,127
317,_1,_3,_36,19.99,19.99,0,1,81
318,_1,_3,_37,19.99,19.99,0,0,71
319,_1,_3,_38,19.99,19.99,0,0,54
320,_1,_3,_39,19.99,19.99,0,0,65
321,_1,_3,_40,19.99,19.99,0,0,67
322,_1,_3,_41,19.99,19.99,0,0,65
323,_1,_3,_42,19.99,19.99,0,0,57
324,_1,_3,_43,19.99,19.99,0,0,62
325,_1,_3,_44,19.99,10.0,1,0,262
326,_1,_3,_45,19.99,10.0,1,0,244
327,_1,_3,_46,19.99,10.0,1,0,245
328,_1,_3,_47,19.99,10.0,1,1,285
329,_1,_3,_48,19.99,19.99,0,0,73
330,_1,_3,_49,19.99,19.99,0,0,75
331,_1,_3,_50,19.99,19.99,0,0,80
332,_1,_3,_51,19.99,19.99,0,0,81
333,_1,_3,_52,19.99,19.99,0,1,55
334,_1,_3,_1,21.99,21.99,0,0,91
335,_1,_3,_2,21.99,21.99,0,0,76
336,_1,_3,_3,21.99,21.99,0,0,72
337,_1,_3,_4,21.99,21.99,0,0,69
338,_1,_3,_5,21.99,21.99,0,0,63
339,_1,_3,_6,21.99,21.99,0,1,65
340,_1,_3,_7,21.99,21.99,0,0,67
341,_1,_3,_8,21.99,21.99,0,0,60
342,_1,_3,_9,21.99,21.99,0,0,63
343,_1,_3,_10,21.99,21.99,0,0,61
344,_1,_3,_11,21.99,21.99,0,0,47
345,_1,_3,_12,21.99,21.99,0,0,52
346,_1,_3,_13,21.99,21.99,0,0,50
347,_1,_3,_14,21.99,21.99,0,0,59
348,_1,_3,_15,21.99,21.99,0,0,47
349,_1,_3,_16,21.99,21.99,0,0,49
350,_1,_3,_17,21.99,21.99,0,0,49
351,_1,_3,_18,21.99,21.99,0,0,59
352,_1,_3,_19,21.99,21.99,0,0,50
353,_1,_3,_20,21.99,21.99,0,0,45
354,_1,_3,_21,21.99,21.99,0,0,47
355,_1,_3,_22,21.99,21.99,0,0,51
356,_1,_3,_23,21.99,21.99,0,0,43
357,_1,_3,_24,21.99,21.99,0,0,44
358,_1,_3,_25,21.99,21.99,0,0,35
359,_1,_3,_26,21.99,11.0,1,0,185
360,_1,_3,_27,21.99,11.0,1,0,169
361,_1,_3,_28,21.99,11.0,1,0,265
362,_1,_3,_29,21.99,11.0,1,0,368
363,_1,_3,_30,21.99,11.0,1,0,489
364,_1,_3,_31,21.99,21.99,0,0,179
365,_1,_3,_32,21.99,21.99,0,0,184
366,_1,_3,_33,21.99,21.99,0,0,238
367,_1,_3,_34,21.99,21.99,0,0,285
368,_1,_3,_35,21.99,21.99,0,0,112
369,_1,_3,_36,21.99,21.99,0,1,73
370,_1,_3,_37,21.99,21.99,0,0,59
371,_1,_3,_38,21.99,21.99,0,0,56
372,_1,_3,_39,21.99,21.99,0,0,60
373,_1,_3,_40,21.99,21.99,0,0,57
374,_1,_3,_41,21.99,21.99,0,0,57
375,_1,_3,_42,21.99,21.99,0,0,58
376,_1,_3,_43,21.99,21.99,0,0,54
377,_1,_3,_44,21.99,11.0,1,0,211
378,_1,_3,_45,21.99,11.0,1,0,228
379,_1,_3,_46,21.99,11.0,1,0,231
380,_1,_3,_47,21.99,11.0,1,1,213
381,_1,_3,_48,21.99,21.99,0,0,58
382,_1,_3,_49,21.99,21.99,0,0,74
383,_1,_3,_50,21.99,21.99,0,0,75
384,_1,_3,_51,21.99,21.99,0,0,78
385,_1,_3,_52,21.99,21.99,0,1,51
386,_1,_3,_1,19.99,19.99,0,0,93
387,_1,_3,_2,19.99,19.99,0,0,92
388,_1,_3,_3,19.99,19.99,0,0,78
389,_1,_3,_4,19.99,19.99,0,0,71
390,_1,_3,_5,19.99,19.99,0,0,83
391,_1,_3,_6,19.99,19.99,0,1,83
392,_1,_3,_7,19.99,19.99,0,0,68
393,_1,_3,_8,19.99,19.99,0,0,70
394,_1,_3,_9,19.99,19.99,0,0,76
395,_1,_3,_10,19.99,19.99,0,0,79
396,_1,_3,_11,19.99,19.99,0,0,59
397,_1,_3,_12,19.99,19.99,0,0,53
398,_1,_3,_13,19.99,19.99,0,0,61
399,_1,_3,_14,19.99,19.99,0,0,62
400,_1,_3,_15,19.99,19.99,0,0,53
401,_1,_3,_16,19.99,19.99,0,0,57
402,_1,_3,_17,19.99,19.99,0,0,57
403,_1,_3,_18,19.99,19.99,0,0,71
404,_1,_3,_19,19.99,19.99,0,0,69
405,_1,_3,_20,19.99,19.99,0,0,57
406,_1,_3,_21,19.99,19.99,0,0,55
407,_1,_3,_22,19.99,19.99,0,0,48
408,_1,_3,_23,19.99,19.99,0,0,57
409,_1,_3,_24,19.99,19.99,0,0,53
410,_1,_3,_25,19.99,19.99,0,0,49
411,_1,_3,_26,19.99,19.99,0,0,51
412,_1,_3,_27,19.99,10.0,1,0,226
413,_1,_3,_28,19.99,10.0,1,0,350
414,_1,_3,_29,19.99,10.0,1,0,537
415,_1,_3,_30,19.99,10.0,1,0,606
416,_1,_3,_31,19.99,19.99,0,0,202
417,_1,_3,_32,19.99,19.99,0,0,189
418,_1,_3,_33,19.99,19.99,0,0,213
419,_1,_3,_34,19.99,19.99,0,0,291
420,_1,_3,_35,19.99,19.99,0,0,338
421,_1,_3,_36,19.99,19.99,0,1,123
422,_1,_3,_37,19.99,19.99,0,0,95
423,_1,_3,_38,19.99,19.99,0,0,89
424,_1,_3,_39,19.99,19.99,0,0,87
425,_1,_3,_40,19.99,19.99,0,0,78
426,_1,_3,_41,19.99,19.99,0,0,70
427,_1,_3,_42,19.99,19.99,0,0,57
428,_1,_3,_43,19.99,19.99,0,0,63
429,_2,_1,_5,9.99,7.99,1,0,345
430,_2,_1,_6,9.99,7.99,1,1,595
431,_2,_1,_7,9.99,7.99,1,0,572
432,_2,_1,_8,9.99,7.99,1,0,255
433,_2,_1,_9,9.99,9.99,0,0,183
434,_2,_1,_10,9.99,9.99,0,0,191
435,_2,_1,_11,9.99,9.99,0,0,189
436,_2,_1,_12,9.99,9.99,0,0,215
437,_2,_1,_13,9.99,9.99,0,0,552
438,_2,_1,_14,9.99,9.99,0,0,444
439,_2,_1,_15,9.99,9.99,0,0,142
440,_2,_1,_16,9.99,9.99,0,0,148
441,_2,_1,_17,9.99,9.99,0,0,161
442,_2,_1,_18,9.99,7.99,1,0,257
443,_2,_1,_19,9.99,7.99,1,0,255
444,_2,_1,_20,9.99,7.99,1,0,223
445,_2,_1,_21,9.99,7.99,1,0,225
446,_2,_1,_22,9.99,9.99,0,0,159
447,_2,_1,_23,9.99,9.99,0,0,163
448,_2,_1,_24,9.99,9.99,0,0,159
449,_2,_1,_25,9.99,9.99,0,0,159
450,_2,_1,_26,9.99,9.99,0,0,159
451,_2,_1,_27,9.99,9.99,0,0,158
452,_2,_1,_28,9.99,9.99,0,0,158
453,_2,_1,_29,9.99,9.99,0,0,141
454,_2,_1,_30,9.99,9.99,0,0,151
455,_2,_1,_31,9.99,9.99,0,0,152
456,_2,_1,_32,9.99,9.99,0,0,146
457,_2,_1,_33,9.99,9.99,0,0,147
458,_2,_1,_34,9.99,9.99,0,0,142
459,_2,_1,_35,9.99,9.99,0,0,159
460,_2,_1,_36,9.99,9.99,0,1,171
461,_2,_1,_37,9.99,9.99,0,0,175
462,_2,_1,_38,9.99,9.99,0,0,174
463,_2,_1,_39,9.99,9.99,0,0,180
464,_2,_1,_40,9.99,9.99,0,0,210
465,_2,_1,_41,9.99,9.99,0,0,233
466,_2,_1,_42,9.99,9.99,0,0,272
467,_2,_1,_43,9.99,9.99,0,0,379
468,_2,_1,_44,9.99,9.99,0,0,308
469,_2,_1,_45,9.99,9.99,0,0,152
470,_2,_1,_46,9.99,9.99,0,0,163
471,_2,_1,_47,9.99,9.99,0,1,163
472,_2,_1,_48,9.99,9.99,0,0,205
473,_2,_1,_49,9.99,9.99,0,0,297
474,_2,_1,_50,9.99,9.99,0,0,430
475,_2,_1,_51,9.99,9.99,0,0,550
476,_2,_1,_52,9.99,9.99,0,1,190
477,_2,_1,_1,10.99,10.99,0,0,110
478,_2,_1,_2,10.99,10.99,0,0,128
479,_2,_1,_3,10.99,10.99,0,0,133
480,_2,_1,_4,10.99,10.99,0,0,147
481,_2,_1,_5,10.99,8.79,1,0,252
482,_2,_1,_6,10.99,8.79,1,1,438
483,_2,_1,_7,10.99,8.79,1,0,534
484,_2,_1,_8,10.99,8.79,1,0,193
485,_2,_1,_9,10.99,10.99,0,0,148
486,_2,_1,_10,10.99,10.99,0,0,151
487,_2,_1,_11,10.99,10.99,0,0,147
488,_2,_1,_12,10.99,10.99,0,0,138
489,_2,_1,_13,10.99,10.99,0,0,142
490,_2,_1,_14,10.99,10.99,0,0,163
491,_2,_1,_15,10.99,10.99,0,0,200
492,_2,_1,_16,10.99,10.99,0,0,417
493,_2,_1,_17,10.99,10.99,0,0,335
494,_2,_1,_18,10.99,8.79,1,0,210
495,_2,_1,_19,10.99,8.79,1,0,191
496,_2,_1,_20,10.99,8.79,1,0,184
497,_2,_1,_21,10.99,8.79,1,0,182
498,_2,_1,_22,10.99,10.99,0,0,128
499,_2,_1,_23,10.99,10.99,0,0,125
500,_2,_1,_24,10.99,10.99,0,0,129
501,_2,_1,_25,10.99,10.99,0,0,124
502,_2,_1,_26,10.99,10.99,0,0,125
503,_2,_1,_27,10.99,10.99,0,0,121
504,_2,_1,_28,10.99,10.99,0,0,120
505,_2,_1,_29,10.99,10.99,0,0,118
506,_2,_1,_30,10.99,10.99,0,0,120
507,_2,_1,_31,10.99,10.99,0,0,121
508,_2,_1,_32,10.99,10.99,0,0,119
509,_2,_1,_33,10.99,10.99,0,0,123
510,_2,_1,_34,10.99,10.99,0,0,125
511,_2,_1,_35,10.99,10.99,0,0,137
512,_2,_1,_36,10.99,10.99,0,1,130
513,_2,_1,_37,10.99,10.99,0,0,139
514,_2,_1,_38,10.99,10.99,0,0,140
515,_2,_1,_39,10.99,10.99,0,0,144
516,_2,_1,_40,10.99,10.99,0,0,162
517,_2,_1,_41,10.99,10.99,0,0,169
518,_2,_1,_42,10.99,10.99,0,0,192
519,_2,_1,_43,10.99,10.99,0,0,251
520,_2,_1,_44,10.99,10.99,0,0,322
521,_2,_1,_45,10.99,10.99,0,0,134
522,_2,_1,_46,10.99,10.99,0,0,138
523,_2,_1,_47,10.99,10.99,0,1,147
524,_2,_1,_48,10.99,10.99,0,0,173
525,_2,_1,_49,10.99,10.99,0,0,252
526,_2,_1,_50,10.99,10.99,0,0,365
527,_2,_1,_51,10.99,10.99,0,0,438
528,_2,_1,_52,10.99,10.99,0,1,181
529,_2,_1,_1,10.99,10.99,0,0,119
530,_2,_1,_2,10.99,10.99,0,0,125
531,_2,_1,_3,10.99,10.99,0,0,135
532,_2,_1,_4,10.99,10.99,0,0,132
533,_2,_1,_5,10.99,8.79,1,0,245
534,_2,_1,_6,10.99,8.79,1,1,351
535,_2,_1,_7,10.99,8.79,1,0,659
536,_2,_1,_8,10.99,8.79,1,0,218
537,_2,_1,_9,10.99,10.99,0,0,147
538,_2,_1,_10,10.99,10.99,0,0,151
539,_2,_1,_11,10.99,10.99,0,0,158
540,_2,_1,_12,10.99,10.99,0,0,173
541,_2,_1,_13,10.99,10.99,0,0,214
542,_2,_1,_14,10.99,10.99,0,0,439
543,_2,_1,_15,10.99,10.99,0,0,324
544,_2,_1,_16,10.99,10.99,0,0,131
545,_2,_1,_17,10.99,10.99,0,0,129
546,_2,_1,_18,10.99,8.79,1,0,193
547,_2,_1,_19,10.99,8.79,1,0,219
548,_2,_1,_20,10.99,8.79,1,0,221
549,_2,_1,_21,10.99,8.79,1,0,201
550,_2,_1,_22,10.99,10.99,0,0,133
551,_2,_1,_23,10.99,10.99,0,0,143
552,_2,_1,_24,10.99,10.99,0,0,139
553,_2,_1,_25,10.99,10.99,0,0,139
554,_2,_1,_26,10.99,10.99,0,0,136
555,_2,_1,_27,10.99,10.99,0,0,139
